"Year" "Country" "Country_code" "World_Region" "Purpose_of_trip" "Accommodation_type" "Number_of_trip's_participants" "Nights_spent" "Travel_agency" "Sample_weight" "Total_expenditure" "Expenditure_for_organiser" "Private_expenditure" "Expenditure_on_accommodation" "Restaurant_expenditures" "Expenditure_on_transport" "Expenditure_on_commodities"
"16" 2019 "Italy" "ITA" "South_Europe" "Private" "Guesthouse" 4 7 "Yes" 120.22 6730 6169 561 0 0 0 0
"17" 2019 "Costa Rica" "CRI" "Australia_and_Oceania" "Private" "Hotel" 3 4 "Yes" 99.31 14160 7661 6499 2200 750 2550 0
"18" 2019 "Japan" "JPN" "Far_East_Asia" "Private" "Hotel" 1 12 "Yes" 121.79 13789 11774 2015 1200 500 0 182
"19" 2019 "Germany" "DEU" "Western_Europe" "Business" "Guesthouse" 1 25 "Yes" 103.06 3110 0 3110 1500 700 0 600
"20" 2019 "Germany" "DEU" "Western_Europe" "Private" "Not_rented" 5 25 "No" 103.48 3950 0 3950 0 2500 800 50
"21" 2019 "United Kingdom" "GBR" "North_Europe" "Private" "Not_rented" 1 7 "No" 104.4 2460 0 2460 0 600 1200 500
"22" 2019 "Greece" "GRC" "South_Europe" "Private" "Hotel" 6 7 "Yes" 96.53 5530 5530 0 0 0 0 0
"23" 2019 "Germany" "DEU" "Western_Europe" "Business" "Not_rented" 3 16 "No" 118.5 15630 0 15630 0 600 15000 30
"24" 2019 "Netherlands" "NLD" "Western_Europe" "Private" "Not_rented" 2 2 "No" 126.75 1740 0 1740 0 200 980 350
"25" 2019 "Spain" "ESP" "South_Europe" "Private" "Not_rented" 1 11 "No" 82.46 2440 0 2440 400 750 500 620
"26" 2019 "Greece" "GRC" "South_Europe" "Private" "Guesthouse" 6 10 "No" 90.41 2840 0 2840 800 800 600 200
"27" 2019 "United Kingdom" "GBR" "North_Europe" "Private" "Not_rented" 3 4 "No" 87.85 3340 0 3340 0 1200 1300 200
"28" 2019 "Germany" "DEU" "Western_Europe" "Business" "Private_accommodation" 1 23 "No" 100.13 1420 0 1420 500 500 300 120
"29" 2019 "United Arab Emirates" "ARE" "Near_East_Asia" "Business" "Not_rented" 3 15 "No" 68.88 4090 0 4090 0 400 1760 1930
"30" 2019 "Italy" "ITA" "South_Europe" "Private" "Guesthouse" 2 3 "No" 131.21 3090 0 3090 720 800 600 200
"31" 2019 "Italy" "ITA" "South_Europe" "Private" "Guesthouse" 4 7 "No" 108.64 4150 0 4150 2856 1162 0 0
"32" 2019 "Luxembourg" "LUX" "Western_Europe" "Private" "Private_accommodation" 1 10 "Unknown" 112.49 2720 0 2720 250 250 1500 500
"33" 2019 "Greece" "GRC" "South_Europe" "Private" "Hotel" 6 7 "Yes" 108.13 2640 2348 292 0 0 80 212
"34" 2019 "Austria" "AUT" "Western_Europe" "Private" "Private_accommodation" 3 14 "No" 87.12 8070 0 8070 3024 1500 900 200
"35" 2019 "Spain" "ESP" "South_Europe" "Private" "Guesthouse" 2 7 "Yes" 84.86 2450 2190 260 0 0 20 0
"36" 2019 "Portugal" "PRT" "South_Europe" "Private" "Guesthouse" 2 4 "Yes" 121.19 3070 1270 1800 0 200 600 300
"37" 2019 "Germany" "DEU" "Western_Europe" "Business" "Private_accommodation" 2 20 "No" 109.98 2770 0 2770 900 750 360 400
"38" 2019 "Norway" "NOR" "North_Europe" "Business" "Hostel" 2 25 "Unknown" 97.62 4110 0 4110 900 396 1800 300
"39" 2019 "Cyprus" "CYP" "South_Europe" "Private" "Hotel" 2 6 "Yes" 98.18 2900 2196 704 0 100 100 504
"40" 2019 "Latvia" "LVA" "North_Europe" "Private" "Not_rented" 5 4 "No" 125.95 2130 0 2130 0 150 1000 800
"41" 2019 "Germany" "DEU" "Western_Europe" "Business" "Hotel" 2 8 "No" 122.32 1500 0 1500 700 800 0 0
"42" 2019 "Germany" "DEU" "Western_Europe" "Business" "Private_accommodation" 3 14 "No" 104.92 2380 0 2380 1000 750 135 495
"43" 2019 "Norway" "NOR" "North_Europe" "Private" "Hotel" 2 5 "Yes" 101.31 8720 8171 549 0 100 0 449
"44" 2019 "Greece" "GRC" "South_Europe" "Private" "Hotel" 5 7 "Yes" 116.51 2910 2694 216 0 0 0 200
"45" 2019 "Turkey" "TUR" "South_Europe" "Private" "Hotel" 1 14 "Yes" 121.09 9830 9830 0 0 0 0 0
"46" 2019 "Austria" "AUT" "Western_Europe" "Private" "Hotel" 3 2 "No" 104 8280 0 8280 250 200 800 7030
"47" 2019 "Italy" "ITA" "South_Europe" "Private" "Private_accommodation" 4 6 "No" 128.3 4190 0 4190 2000 900 950 340
"48" 2019 "Sweden" "SWE" "North_Europe" "Business" "Guesthouse" 2 14 "No" 104.78 1840 0 1840 420 900 500 0
"49" 2019 "Austria" "AUT" "Western_Europe" "Private" "Guesthouse" 5 8 "Yes" 88.45 6020 4128 1892 0 1850 0 0
"50" 2019 "Norway" "NOR" "North_Europe" "Private" "Not_rented" 2 5 "No" 128.08 2050 0 2050 400 400 850 100
"51" 2019 "Spain" "ESP" "South_Europe" "Private" "Hotel" 2 7 "Yes" 89.34 4140 3715 425 0 0 50 350
"52" 2019 "Turkey" "TUR" "South_Europe" "Business" "Private_accommodation" 1 5 "Yes" 106.01 2220 0 2220 400 200 1620 0
"53" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 1 7 "Yes" 116.01 5230 5016 214 0 0 0 200
"54" 2019 "Croatia" "HRV" "South_Europe" "Private" "Private_accommodation" 2 7 "No" 130.42 5580 0 5580 2800 1000 1000 0
"55" 2019 "Belgium" "BEL" "Western_Europe" "Business" "Private_accommodation" 3 25 "No" 104.51 5490 0 5490 2200 1500 1790 0
"56" 2019 "Croatia" "HRV" "South_Europe" "Private" "Hotel" 2 9 "Yes" 75.07 3850 3483 367 0 0 0 200
"57" 2019 "Austria" "AUT" "Western_Europe" "Private" "Hotel" 2 14 "No" 88.37 10436 0 10436 4000 800 780 700
"58" 2019 "Greece" "GRC" "South_Europe" "Private" "Hotel" 3 7 "Yes" 75.22 5250 4706 544 0 200 100 100
"59" 2019 "Germany" "DEU" "Western_Europe" "Business" "Hostel" 3 5 "No" 93.29 1660 0 1660 400 600 400 0
"60" 2019 "Ireland" "IRL" "North_Europe" "Private" "Not_rented" 3 6 "No" 124.59 2550 0 2550 200 600 1200 300
"61" 2019 "Norway" "NOR" "North_Europe" "Private" "Not_rented" 1 20 "No" 125.62 2360 0 2360 0 1500 800 10
"62" 2019 "Austria" "AUT" "Western_Europe" "Private" "Hotel" 1 4 "No" 113.37 3900 0 3900 767 82 2000 250
"63" 2019 "Italy" "ITA" "South_Europe" "Private" "Hotel" 2 7 "No" 126.21 2560 0 2560 600 1000 780 100
"64" 2019 "Italy" "ITA" "South_Europe" "Private" "Guesthouse" 3 6 "Yes" 101.19 3470 2224 1246 0 200 600 446
"65" 2019 "Denmark" "DNK" "North_Europe" "Business" "Private_accommodation" 2 23 "No" 126.22 7620 0 7620 800 600 700 5520
"66" 2019 "Italy" "ITA" "South_Europe" "Private" "Hotel" 1 5 "No" 127.46 1800 0 1800 800 300 300 0
"67" 2019 "Ukraine" "UKR" "Eastern_Europe" "Private" "Private_accommodation" 3 5 "No" 126.76 2200 0 2200 400 300 650 650
"68" 2019 "United Kingdom" "GBR" "North_Europe" "Private" "Not_rented" 3 10 "No" 131.37 1260 0 1260 0 400 450 410
"69" 2019 "Netherlands" "NLD" "Western_Europe" "Private" "Not_rented" 3 2 "No" 129.73 1870 0 1870 0 500 700 600
"70" 2019 "Bulgaria" "BGR" "Eastern_Europe" "Private" "Hotel" 2 7 "Yes" 100.79 5730 186 5544 2854 956 1734 0
"71" 2019 "Croatia" "HRV" "South_Europe" "Private" "Hotel" 1 7 "Yes" 107.48 3480 3314 166 0 0 0 166
"72" 2019 "Sweden" "SWE" "North_Europe" "Business" "Hostel" 1 4 "Unknown" 131.25 2130 0 2130 400 300 1000 430
"73" 2019 "Germany" "DEU" "Western_Europe" "Private" "Not_rented" 5 7 "No" 118.41 1650 0 1650 0 600 600 300
"74" 2019 "Germany" "DEU" "Western_Europe" "Private" "Hotel" 1 1 "No" 100.2 1440 0 1440 150 100 950 240
"75" 2019 "United Kingdom" "GBR" "North_Europe" "Private" "Not_rented" 3 5 "No" 110.16 2030 0 2030 0 400 700 530
"76" 2019 "France" "FRA" "Western_Europe" "Private" "Not_rented" 5 14 "No" 90.92 3070 0 3070 700 800 600 700
"77" 2019 "United Kingdom" "GBR" "North_Europe" "Private" "Not_rented" 5 5 "No" 99.15 1370 0 1370 0 250 750 100
"78" 2019 "Bulgaria" "BGR" "Eastern_Europe" "Private" "Hotel" 3 7 "Yes" 88.63 2040 1573 467 0 100 0 200
"79" 2019 "United Kingdom" "GBR" "North_Europe" "Private" "Not_rented" 1 7 "No" 116 1740 0 1740 0 400 1100 240
"80" 2019 "Germany" "DEU" "Western_Europe" "Business" "Not_rented" 3 16 "No" 108.04 2720 0 2720 500 450 850 500
"81" 2019 "Norway" "NOR" "North_Europe" "Private" "Not_rented" 3 5 "No" 89.96 3180 0 3180 350 400 2200 230
"82" 2019 "Ukraine" "UKR" "Eastern_Europe" "Business" "Hotel" 1 5 "Yes" 121.07 2180 1981 199 0 0 199 0
"83" 2019 "Hungary" "HUN" "Eastern_Europe" "Private" "Hotel" 2 5 "Yes" 97.68 1540 1140 400 0 0 0 350
"84" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 4 13 "Yes" 71.75 8280 6281 1999 0 0 150 600
"85" 2019 "Lithuania" "LTU" "North_Europe" "Private" "Hotel" 5 4 "No" 83.82 2400 0 2400 800 1000 600 0
"86" 2019 "Sweden" "SWE" "North_Europe" "Private" "Not_rented" 6 5 "No" 93.42 1110 0 1110 300 250 500 60
"87" 2019 "United Kingdom" "GBR" "North_Europe" "Private" "Not_rented" 1 6 "No" 67.89 1900 0 1900 0 630 1270 0
"88" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 6 5 "Yes" 107.29 3180 2672 508 0 0 300 208
"89" 2019 "Germany" "DEU" "Western_Europe" "Business" "Not_rented" 1 5 "No" 118.6 1930 0 1930 0 300 1400 100
"90" 2019 "Germany" "DEU" "Western_Europe" "Business" "Hotel" 1 2 "No" 90.18 1470 0 1470 800 300 370 0
"91" 2019 "Turkey" "TUR" "South_Europe" "Private" "Hotel" 2 6 "Yes" 119.39 2190 1990 200 0 0 0 200
"92" 2019 "Sweden" "SWE" "North_Europe" "Business" "Private_accommodation" 3 14 "No" 91.33 1770 0 1770 500 50 740 480
"93" 2019 "United Kingdom" "GBR" "North_Europe" "Private" "Not_rented" 6 4 "No" 114.2 1320 0 1320 0 600 450 200
"94" 2019 "Greece" "GRC" "South_Europe" "Private" "Hotel" 5 4 "No" 109.79 1480 0 1480 250 50 1100 80
"95" 2019 "China" "CHN" "Far_East_Asia" "Business" "Hotel" 3 7 "Yes" 113.42 14762 13839 923 0 0 0 923
"96" 2019 "Belgium" "BEL" "Western_Europe" "Business" "Hotel" 2 3 "Yes" 125.05 2910 1662 1248 1200 0 0 48
"97" 2019 "Tunisia" "TUN" "North_Africa" "Private" "Hotel" 6 7 "Yes" 77.16 4990 4402 588 0 100 300 188
"98" 2019 "Croatia" "HRV" "South_Europe" "Private" "Agritourism_accommodation" 1 7 "No" 79.45 4800 0 4800 1500 1500 600 900
"99" 2019 "Germany" "DEU" "Western_Europe" "Business" "Not_rented" 2 16 "Yes" 128.8 4170 4170 0 0 0 0 0
"100" 2019 "Czech Republic" "CZE" "Eastern_Europe" "Private" "Guesthouse" 3 4 "No" 132.07 2320 0 2320 800 700 300 350
"101" 2019 "Turkey" "TUR" "South_Europe" "Private" "Hotel" 1 8 "Yes" 102.35 4180 3998 182 0 0 0 182
"102" 2019 "Denmark" "DNK" "North_Europe" "Business" "Private_accommodation" 3 18 "No" 112.39 5280 0 5280 1518 2000 1000 100
"103" 2019 "Bulgaria" "BGR" "Eastern_Europe" "Private" "Hotel" 6 7 "Yes" 99.36 3330 3215 115 0 0 0 100
"104" 2019 "Germany" "DEU" "Western_Europe" "Business" "Other" 2 23 "Yes" 61.82 3420 2085 1335 0 0 0 1335
"105" 2019 "France" "FRA" "Western_Europe" "Private" "Hotel" 6 4 "No" 127.64 6890 0 6890 3066 1680 1400 630
"106" 2019 "Denmark" "DNK" "North_Europe" "Private" "Not_rented" 6 26 "No" 65.87 5250 0 5250 1000 1500 1700 450
"107" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 4 6 "Yes" 98.65 5140 3787 1353 0 300 200 853
"108" 2019 "Norway" "NOR" "North_Europe" "Private" "Not_rented" 5 5 "No" 91.92 2490 0 2490 0 1440 900 60
"109" 2019 "Georgia" "GEO" "Near_East_Asia" "Private" "Hotel" 6 7 "Yes" 120.57 7320 5649 1671 0 795 20 450
"110" 2019 "Germany" "DEU" "Western_Europe" "Business" "Private_accommodation" 3 20 "No" 127.97 1090 0 1090 600 200 290 0
"111" 2019 "United Kingdom" "GBR" "North_Europe" "Private" "Not_rented" 1 14 "No" 129.23 1350 0 1350 0 400 331 200
"112" 2019 "Germany" "DEU" "Western_Europe" "Business" "Guesthouse" 2 10 "No" 94.79 1450 0 1450 700 700 50 0
"113" 2019 "Norway" "NOR" "North_Europe" "Private" "Not_rented" 6 3 "No" 93.28 3200 0 3200 0 200 2500 200
"114" 2019 "Italy" "ITA" "South_Europe" "Private" "Hotel" 4 10 "Yes" 125.37 3610 3249 361 0 0 0 361
"115" 2019 "Greece" "GRC" "South_Europe" "Private" "Hotel" 3 7 "Yes" 98.28 5470 4020 1450 0 0 1450 0
"116" 2019 "Hungary" "HUN" "Eastern_Europe" "Business" "Agritourism_accommodation" 1 16 "No" 123.81 9840 0 9840 1200 1400 380 300
"117" 2019 "Hungary" "HUN" "Eastern_Europe" "Private" "Hotel" 6 8 "No" 122.03 3100 0 3100 1260 640 220 410
"118" 2019 "Iceland" "ISL" "North_Europe" "Private" "Private_accommodation" 4 2 "Yes" 69.72 1610 1227 383 0 200 136 47
"119" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 2 7 "Yes" 114.49 8130 4742 3388 0 1027 0 1000
"120" 2019 "Germany" "DEU" "Western_Europe" "Private" "Not_rented" 1 7 "No" 81.38 1470 0 1470 0 200 800 300
"121" 2019 "Lithuania" "LTU" "North_Europe" "Private" "Hostel" 4 3 "Yes" 110.84 1860 1169 691 0 400 0 250
"122" 2019 "Croatia" "HRV" "South_Europe" "Private" "Hotel" 6 7 "Yes" 125.7 4190 3847 343 0 0 100 243
"123" 2019 "Belgium" "BEL" "Western_Europe" "Private" "Not_rented" 1 8 "No" 77.69 1620 0 1620 200 400 700 320
"124" 2019 "Croatia" "HRV" "South_Europe" "Private" "Hotel" 5 12 "Yes" 107.86 8890 7497 1393 0 0 800 500
"125" 2019 "Greece" "GRC" "South_Europe" "Private" "Not_rented" 5 7 "No" 131.56 4790 0 4790 700 400 2300 700
"126" 2019 "Hungary" "HUN" "Eastern_Europe" "Private" "Hotel" 3 4 "Yes" 132.24 1610 1610 0 0 0 0 0
"127" 2019 "Montenegro" "MN" "South_Europe" "Private" "Hotel" 1 8 "Yes" 117.77 1930 1125 805 0 0 0 805
"128" 2019 "Austria" "AUT" "Western_Europe" "Private" "Not_rented" 2 6 "No" 70.98 1580 0 1580 0 600 500 400
"129" 2019 "Italy" "ITA" "South_Europe" "Private" "Hotel" 6 6 "Yes" 95.95 3450 1000 2450 600 350 1100 400
"130" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 6 14 "Yes" 127.43 7810 5898 1912 0 0 100 1020
"131" 2019 "Italy" "ITA" "South_Europe" "Private" "Hotel" 3 2 "Yes" 91.55 2890 2096 794 0 500 0 0
"132" 2019 "Austria" "AUT" "Western_Europe" "Business" "Private_accommodation" 1 5 "No" 129.5 1670 0 1670 400 500 500 200
"133" 2019 "Croatia" "HRV" "South_Europe" "Private" "Hostel" 3 14 "No" 84.37 7490 0 7490 4500 800 850 1200
"134" 2019 "Turkey" "TUR" "South_Europe" "Private" "Hotel" 1 10 "Yes" 131.69 11550 10744 806 0 0 100 706
"135" 2019 "Ukraine" "UKR" "Eastern_Europe" "Private" "Other" 4 11 "Yes" 111.85 7480 2256 5224 0 1281 0 3943
"136" 2019 "Montenegro" "MN" "South_Europe" "Private" "Hotel" 4 7 "No" 128.46 6920 0 6920 2611 1062 2786 100
"137" 2019 "Turkey" "TUR" "South_Europe" "Private" "Hotel" 6 7 "Yes" 102.94 3290 3070 220 0 0 0 200
"138" 2019 "Italy" "ITA" "South_Europe" "Private" "Guesthouse" 4 8 "No" 117.63 6560 0 6560 6000 300 260 0
"139" 2019 "Germany" "DEU" "Western_Europe" "Business" "Private_accommodation" 2 20 "No" 103.72 3190 0 3190 1000 1000 290 800
"140" 2019 "Italy" "ITA" "South_Europe" "Private" "Hotel" 3 6 "Yes" 84.02 1760 1257 503 0 100 0 403
"141" 2019 "Germany" "DEU" "Western_Europe" "Business" "Hotel" 3 6 "No" 122.34 3250 0 3250 1200 550 800 500
"142" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 4 7 "Yes" 71.37 3120 2201 919 0 0 812 107
"143" 2019 "Turkey" "TUR" "South_Europe" "Private" "Hotel" 3 6 "Yes" 128.34 6520 2735 3785 0 0 150 3600
"144" 2019 "Germany" "DEU" "Western_Europe" "Business" "Hotel" 3 22 "No" 131.02 4310 0 4310 800 2000 650 300
"145" 2019 "Croatia" "HRV" "South_Europe" "Private" "Private_accommodation" 3 9 "No" 94.54 5130 0 5130 1500 1500 1200 500
"146" 2019 "Turkey" "TUR" "South_Europe" "Private" "Hotel" 2 10 "Yes" 122.84 3000 1089 1911 1020 415 250 100
"147" 2019 "Czech Republic" "CZE" "Eastern_Europe" "Private" "Hotel" 5 4 "No" 118.05 3050 0 3050 800 1000 800 100
"148" 2019 "France" "FRA" "Western_Europe" "Business" "Not_rented" 1 5 "No" 120.85 5360 0 5360 0 300 3800 450
"149" 2019 "United Kingdom" "GBR" "North_Europe" "Private" "Not_rented" 5 5 "No" 87.5 3270 0 3270 0 500 1850 450
"150" 2019 "Italy" "ITA" "South_Europe" "Private" "Not_rented" 1 8 "No" 99.87 2730 0 2730 83 1050 1117 200
"151" 2019 "Bulgaria" "BGR" "Eastern_Europe" "Private" "Guesthouse" 2 12 "Yes" 85.11 3090 2317 773 0 0 0 700
"152" 2019 "Spain" "ESP" "South_Europe" "Business" "Guesthouse" 2 7 "No" 84.45 4810 0 4810 1500 1300 1550 460
"153" 2019 "Belgium" "BEL" "Western_Europe" "Private" "Not_rented" 4 4 "No" 99.33 1190 0 1190 160 200 600 230
"154" 2019 "Turkey" "TUR" "South_Europe" "Private" "Hotel" 2 9 "Yes" 125.61 9390 9138 252 0 0 0 220
"155" 2019 "Czech Republic" "CZE" "Eastern_Europe" "Private" "Hostel" 2 2 "Yes" 90.9 2850 492 2358 0 0 0 200
"156" 2019 "Italy" "ITA" "South_Europe" "Private" "Hotel" 4 7 "Yes" 117.86 1730 1482 248 0 100 0 148
"157" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 4 13 "No" 95.34 16043 0 16043 3200 2500 3800 5500
"158" 2019 "Germany" "DEU" "Western_Europe" "Business" "Hotel" 1 6 "No" 108.56 5250 0 5250 2000 1200 1320 100
"159" 2019 "Netherlands" "NLD" "Western_Europe" "Private" "Agritourism_accommodation" 1 3 "No" 97.59 1820 0 1820 1000 500 320 0
"160" 2019 "Slovakia" "SVK" "Eastern_Europe" "Private" "Private_accommodation" 6 8 "No" 118.19 1690 0 1690 700 0 300 200
"161" 2019 "Belgium" "BEL" "Western_Europe" "Business" "Hostel" 2 6 "Unknown" 129.36 2620 0 2620 360 500 800 960
"162" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 2 14 "Yes" 95.12 9290 8682 608 0 0 0 608
"163" 2019 "Hungary" "HUN" "Eastern_Europe" "Business" "Guesthouse" 3 6 "Yes" 107.1 1710 1403 307 0 0 200 107
"164" 2019 "Albania" "ALB" "South_Europe" "Private" "Hotel" 1 7 "Yes" 98.15 4910 4161 749 0 0 100 0
"165" 2019 "Netherlands" "NLD" "Western_Europe" "Private" "Hostel" 3 5 "No" 123.53 13453 0 13453 6000 4500 1880 224
"166" 2019 "Croatia" "HRV" "South_Europe" "Private" "Not_rented" 3 25 "No" 112.68 5030 0 5030 2400 1200 800 0
"167" 2019 "Netherlands" "NLD" "Western_Europe" "Business" "Private_accommodation" 3 20 "No" 111.58 3300 0 3300 1000 700 700 500
"168" 2019 "France" "FRA" "Western_Europe" "Private" "Not_rented" 3 25 "No" 113.34 2870 0 2870 300 900 650 600
"169" 2019 "Germany" "DEU" "Western_Europe" "Private" "Not_rented" 4 7 "Yes" 116.97 3670 0 3670 1000 900 1000 200
"170" 2019 "Germany" "DEU" "Western_Europe" "Business" "Not_rented" 2 5 "No" 103.2 1700 0 1700 0 480 600 415
"171" 2019 "Germany" "DEU" "Western_Europe" "Business" "Agritourism_accommodation" 3 9 "No" 76.99 2200 0 2200 250 500 500 950
"172" 2019 "United Kingdom" "GBR" "North_Europe" "Private" "Not_rented" 3 20 "No" 98.58 5530 0 5530 500 1000 678 3050
"173" 2019 "France" "FRA" "Western_Europe" "Business" "Hotel" 1 3 "No" 121.75 5300 0 5300 300 600 4050 350
"174" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 4 7 "Yes" 120.35 4610 4288 322 0 0 0 300
"175" 2019 "Greece" "GRC" "South_Europe" "Private" "Hotel" 6 7 "Yes" 104.02 3410 3043 367 0 300 0 0
"176" 2019 "Thailand" "THA" "Far_East_Asia" "Private" "Hotel" 3 5 "Yes" 124.03 6020 5801 219 0 0 0 200
"177" 2019 "Germany" "DEU" "Western_Europe" "Business" "Private_accommodation" 3 5 "No" 97.22 1390 0 1390 500 200 400 200
"178" 2019 "United States of America" "USA" "North_America" "Private" "Not_rented" 2 10 "No" 99.84 5410 0 5410 0 879 4141 0
"179" 2019 "Norway" "NOR" "North_Europe" "Private" "Not_rented" 3 25 "No" 81.88 5010 0 5010 0 3000 1150 860
"180" 2019 "Netherlands" "NLD" "Western_Europe" "Business" "Other" 1 23 "No" 124.31 3800 0 3800 870 400 1500 1030
"181" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 1 9 "Yes" 84.47 3820 3820 0 0 0 0 0
"182" 2019 "Germany" "DEU" "Western_Europe" "Private" "Hotel" 1 6 "No" 74.62 2440 0 2440 1200 1200 40 0
"183" 2019 "United States of America" "USA" "North_America" "Private" "Not_rented" 4 29 "No" 100.51 8190 0 8190 0 900 6720 0
"184" 2019 "United Kingdom" "GBR" "North_Europe" "Private" "Not_rented" 6 10 "No" 96.03 2260 0 2260 0 1500 700 0
"185" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 6 6 "Yes" 113.57 6680 5108 1572 0 300 100 820
"186" 2019 "United Kingdom" "GBR" "North_Europe" "Private" "Not_rented" 3 4 "No" 105.04 1410 0 1410 0 400 470 540
"187" 2019 "Hungary" "HUN" "Eastern_Europe" "Private" "Agritourism_accommodation" 6 5 "No" 115 1000 0 1000 500 250 200 50
"188" 2019 "Austria" "AUT" "Western_Europe" "Private" "Hotel" 4 6 "No" 121.74 3750 0 3750 1000 1000 400 800
"189" 2019 "Bulgaria" "BGR" "Eastern_Europe" "Private" "Hotel" 6 7 "Yes" 82.66 6700 6138 562 0 0 200 362
"190" 2019 "Norway" "NOR" "North_Europe" "Business" "Private_accommodation" 2 25 "No" 94.56 11098 0 11098 3000 4000 1500 2598
"191" 2019 "Slovakia" "SVK" "Eastern_Europe" "Private" "Hotel" 2 2 "Yes" 130.53 1160 1160 0 0 0 0 0
"192" 2019 "Portugal" "PRT" "South_Europe" "Private" "Private_accommodation" 2 10 "Yes" 97.1 9430 8301 1129 0 0 0 1020
"193" 2019 "Malta" "MLT" "South_Europe" "Private" "Hotel" 1 6 "Yes" 97 4070 2961 1109 0 800 80 130
"194" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 2 7 "Yes" 125.12 5820 5820 0 0 0 0 0
"195" 2019 "Spain" "ESP" "South_Europe" "Private" "Hotel" 2 14 "Yes" 106.7 9410 6933 2477 0 0 1500 700
"196" 2019 "Mexico" "MEX" "Australia_and_Oceania" "Private" "Hotel" 3 18 "No" 131.63 20467 0 20467 5000 4000 7016 4451
"197" 2019 "Spain" "ESP" "South_Europe" "Private" "Guesthouse" 2 8 "No" 115.18 8260 0 8260 2000 2400 2200 700
"198" 2019 "France" "FRA" "Western_Europe" "Private" "Not_rented" 3 6 "No" 91.38 1760 0 1760 120 1000 640 0
"199" 2019 "Denmark" "DNK" "North_Europe" "Business" "Agritourism_accommodation" 2 12 "Yes" 76.73 7490 0 7490 1080 300 5000 200
"200" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 2 13 "Yes" 124.17 2840 2650 190 0 0 0 190
"201" 2019 "Turkey" "TUR" "South_Europe" "Private" "Hotel" 5 6 "Yes" 109.63 5910 4419 1491 0 0 100 1350
"202" 2019 "Thailand" "THA" "Far_East_Asia" "Private" "Hotel" 3 7 "No" 130.03 7410 0 7410 1000 1000 5050 360
"203" 2019 "Netherlands" "NLD" "Western_Europe" "Private" "Not_rented" 3 7 "No" 125.95 3770 0 3770 0 700 500 1900
